,make,model,variant,ex-showroom_price,displacement,cylinders,valves_per_cylinder,drivetrain,cylinder_configuration,emission_norm,engine_location,fuel_system,fuel_tank_capacity,fuel_type,height,length,width,body_type,doors,city_mileage,highway_mileage,arai_certified_mileage,arai_certified_mileage_for_cng,kerb_weight,gears,ground_clearance,front_brakes,rear_brakes,front_suspension,rear_suspension,front_track,rear_track,front_tyre_&_rim,rear_tyre_&_rim,power_steering,power_windows,power_seats,keyless_entry,power,torque,odometer,speedometer,tachometer,tripmeter,seating_capacity,seats_material,type,wheelbase,wheels_size,start_/_stop_button,12v_power_outlet,audiosystem,aux-in_compatibility,average_fuel_consumption,basic_warranty,bluetooth,boot-lid_opener,boot_space,cd_/_mp3_/_dvd_player,central_locking,child_safety_locks,clock,cup_holders,distance_to_empty,door_pockets,engine_malfunction_light,extended_warranty,fm_radio,fuel-lid_opener,fuel_gauge,handbrake,instrument_console,low_fuel_warning,minimum_turning_radius,multifunction_display,sun_visor,third_row_ac_vents,ventilation_system,auto-dimming_rear-view_mirror,hill_assist,gear_indicator,3_point_seat-belt_in_middle_rear_seat,ambient_lightning,cargo/boot_lights,drive_modes,engine_immobilizer,high_speed_alert_system,lane_watch_camera/_side_mirror_camera,passenger_side_seat-belt_reminder,seat_back_pockets,voice_recognition,walk_away_auto_car_lock,abs_(anti-lock_braking_system),headlight_reminder,adjustable_headrests,gross_vehicle_weight,airbags,door_ajar_warning,ebd_(electronic_brake-force_distribution),fasten_seat_belt_warning,gear_shift_reminder,number_of_airbags,compression_ratio,adjustable_steering_column,other_specs,other_specs,parking_assistance,key_off_reminder,usb_compatibility,android_auto,apple_carplay,cigarette_lighter,infotainment_screen,multifunction_steering_wheel,average_speed,eba_(electronic_brake_assist),seat_height_adjustment,navigation_system,second_row_ac_vents,tyre_pressure_monitoring_system,rear_center_armrest,ipod_compatibility,esp_(electronic_stability_program),cooled_glove_box,recommended_tyre_pressure,heated_seats,turbocharger,isofix_(child-seat_mount),rain_sensing_wipers,paddle_shifters,leather_wrapped_steering,automatic_headlamps,engine_type,asr_/_traction_control,cruise_control,usb_ports,heads-up_display,welcome_lights,battery,electric_range,cylindders
255,Mercedes,Mercedes-Benz B-Class,B 200 Cdi Night Edition,3303282,2143,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50,Diesel,1557,4393,1786,MPV,5,11.5,11.5,15,,1577 kg,7,190,Ventilated Disc,Ventilated Disc,McPherson strut front axle,4 link rear axle,1522 mm,1549 mm,205/55R16,205/55R16,Electric Power,All Windows,Yes,Smart Key,136PS@4400RPM,300Nm@1600-3000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,205/55R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,,"With Remote, Manual",488,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11 meter,Yes,,,Fully automatic climate control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,,2025 kg,"Driver pelvic airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag, Front passenger pelvic airbag, Driver frontal airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
256,Mercedes,Mercedes-Benz Cla-Class,200 Sport,3599000,1991,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,56,Petrol,1432,4630,1777,Sedan,4,11.04,11.04,15.04,,1510 kg,7,160,Ventilated Disc,Ventilated Disc,McPherson Strut,Four-link,1549 mm,1547 mm,225/45R17,225/45R17,Electric Power,All Windows,Yes,Smart Key,183PS@5500rpm,300Nm@1200-4000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,225/45R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",470,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11 meter,Yes,Driver & Front Passenger,Not Applicable,"Fully automatic climate control, 2 Zone Climate Control",No,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,,1955 kg,"Drive side airbag, Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
257,Mercedes,Mercedes-Benz Cla-Class,200 Cdi Style,3172000,2143,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,56,Diesel,1432,4630,1777,Sedan,4,13.9,13.9,17.9,,1570 kg,5,160,Ventilated Disc,Ventilated Disc,McPherson Strut,Four-link,1549 mm,1547 mm,225/45R17,225/45R17,Electric Power,All Windows,Power seats,Smart Key,136PS@4400RPM,300Nm@1600-3000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,225/45R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",470,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11 meter,Yes,Driver & Front Passenger,Not Applicable,"Fully automatic climate control, 2 Zone Climate Control",No,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,,2005 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
258,Mercedes,Mercedes-Benz Cla-Class,200 D Sport,3699000,2143,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,56,Diesel,1432,4630,1777,Sedan,4,13.9,13.9,17.9,,1570 kg,5,160,Ventilated Disc,Ventilated Disc,McPherson Strut,Four-link,1549 mm,1547 mm,225/45R17,225/45R17,Electric Power,All Windows,Power seats,Smart Key,136PS@4400RPM,300Nm@1600-3000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,225/45R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"With Remote, Internal",470,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11 meter,Yes,Driver & Front Passenger,Not Applicable,"Fully automatic climate control, 2 Zone Climate Control",No,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,,2005 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
259,Skoda,Kodiaq,Style 2.0 Tdi 4X4 At,3299599,1968,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,66,Diesel,1483,4861,1864,SUV,4,15.1,15.1,18.19,,1565 kg,6,149,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",,,215/55 R17,215/55 R17,Electro-Hydraulic,All Windows,Yes,Smart Key,177PS@4000RPM,350Nm@1500-3500rpm,Digital,Analog,Analog,1,5,Leather,Automatic,2841 mm,215/55 R17,Yes,3,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",625,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.1 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2060 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Rear passenger side airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
260,Skoda,Kodiaq,Laurin And Klement,3678599,1968,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,66,Diesel,1483,4861,1864,SUV,4,15.1,15.1,18.19,,1565 kg,6,149,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",,,215/55 R17,215/55 R17,Electro-Hydraulic,All Windows,Yes,Smart Key,148bhp@4000RPM,340Nm@1500-3500rpm,Digital,Analog,Analog,1,5,Leather,Automatic,2841 mm,215/55 R17,Yes,3,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",625,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.1 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2060 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Rear passenger side airbags",Yes,Yes,Yes,Yes,9.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
261,Skoda,Kodiaq,Corporate Edition,3299599,1968,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,66,Diesel,1483,4861,1864,SUV,4,15.1,15.1,18.19,,1565 kg,6,149,Ventilated Disc,Ventilated Disc,McPherson suspension with lower triangular links and torsion stabilizer,"Multi-element axle, with one longitudinal and three transverse links, with torsion stabiliser",,,215/55 R17,215/55 R17,Electro-Hydraulic,All Windows,Yes,Smart Key,177PS@4000RPM,350Nm@1500-3500rpm,Digital,Analog,Analog,1,5,Leather,Automatic,2841 mm,215/55 R17,Yes,3,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",625,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,2 years /100000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.1 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2060 kg,"Driver head airbag, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags, Curtain airbags",Yes,Yes,Yes,Yes,9.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
262,Dc,Avanti,Standard,3407407,2000,4.0,4.0,RWD (Rear Wheel Drive),In-line,BS IV,"Rear Mid, Transverse",Injection,60,Petrol,1200,4565,2120,Coupe,2,8,8,10,,1580 kg,6,170,Ventilated Disc,Ventilated Disc,Double wishbone,Double wishbone,1670 mm,1650 mm,255/35R20,295/30R20,Electric Power,Only Front Windows,,Smart Key,250PS@5500RPM,340NM@2750-5000rpm,Digital,Analog,Analog,Yes,2,Fabric,Manual,2700 mm,R20,Yes,Yes,CD/MP3 Player,,,Unknown,Yes,Internal,375,Yes,Yes,No,Digital,Front,Yes,Front,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,6 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,,,No,,,,,,,No,,,,Yes,Yes,Front Row,1580 kg,,Yes,,Yes,,2.0,,"Rake, Reach",,,Unknown,Yes,,,,,Touch Sensitive,,,,Manual Adjustment,,,,,,,,,,Yes,,,,Yes,No,,,,,,,Unknown,Unknown,4.0
263,Audi,Q3,30 Tdi Premium Fwd,3677200,1968,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64,Diesel,1608,4388,1831,SUV,5,12,12,15.73,,1585 kg,7,170,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",1571 mm,1575 mm,215/65R16,215/65R16,Electric Power,Only Front Windows,"Yes, with memory",Smart Key,148hp@3500-4000rpm,340Nm@1750-2750rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,2603 mm,215/65R16,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,Internal,460,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2185 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
264,Audi,Q3,35 Tdi Quattro Premium Plus,3992200,1968,4.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64,Diesel,1608,4388,1831,SUV,5,12,12,15.73,,1685 kg,7,170,Ventilated Disc,Ventilated Disc,"McPherson struts with aluminum lower wishbones, steel pivot bearings, aluminum subframe, tubular ant","Four-link rear suspension with separate spring/shock absorber arrangement, subframe, aluminum wheel",1571 mm,1575 mm,235/55R17,235/55R17,Electric Power,All Windows,Yes,Smart Key,177PS@4200rpm,380Nm@1750-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2603 mm,235/55R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2185 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
265,Audi,Q3,35 Tdi Quattro Technology,4361000,1968,4.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64,Diesel,1608,4388,1831,SUV,5,12,12,15.73,,1585 kg,7,170,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",1571 mm,1575 mm,235/55R17,235/55R17,Electric Power,All Windows,"Yes, with memory",Smart Key,177PS@4200rpm,380Nm@1750-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2603 mm,235/55R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2185 kg,"Driver frontal airbag, Curtain airbags, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
266,Audi,Q3,30 Tfsi Premium,3496750,1395,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,64,Petrol,1608,4388,1831,SUV,5,12,12,16.9,,1585 kg,7,170,Ventilated Disc,Ventilated Disc,"Mac Pherson type with coil spring, stabiliser bar and double acting shock absorber","Double wishbones, two-way adjustable VPS gas-hydraulic shock absorbers, pushrod operated",1571 mm,1575 mm,235/55 R17,235/55 R17,Electric Power,All Windows,"Yes, with memory",Smart Key,150PS@4200rpm,250Nm@1750-2500rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2603 mm,235/55 R17,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,460,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,2185 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
267,Mini,Cooper 5 Door,Cooper D,3600000,1496,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44,Petrol,1425,3982,1727,Hatchback,5,10.3,10.3,21.15,,1295 kg,6,170,Ventilated Disc,Ventilated Disc,,,,,175/65 R15,175/65 R15,Hydraulic Power,All Windows,Power seats,No,116PS@4000rpm,270Nm@1750-2250rpm,Unknown,Unknown,Yes,,5,Leather,Automatic,,175/65 R15,,,CD Player with USB & Aux-in,,,2 years / Unlimited Kms,Yes,Internal,278,,No,Yes,,,,,,,,Manual,,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,No,,,No,,,,Yes,,,No,,,,Yes,Yes,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,,2.0,16.5:1,"Reach, Rake",,,Unknown,Yes,,,,,,Multifunction Steering Wheel,,,Electric Adjustment,Yes,,,,,Yes,,,,Yes,,,,Yes,No,,Yes,Yes,,,,Unknown,Unknown,3.0
268,Mini,Convertible,Cooper S,3830000,1998,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,44,Petrol,1415,3850,1727,Convertible,2,15.29,15.29,14.59,,1370 kg,6,170,Ventilated Disc,Ventilated Disc,single joint spring-strut front axle,multiple control-arm rear axle,,,195/55 R16,195/55 R16,Electro-Hydraulic,All Windows,Yes,Smart Key,192PS@5000-6000rpm,280NM@1250-4600rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,,195 / 55 R16,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,215,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,No,,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,11:1,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment,Yes,Yes,,Cup Holders,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
269,Volvo,Xc40,D4 Momentum,3990000,1969,5.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,46,Diesel,1652,4425,1863,SUV,5,15.29,15.29,18.16,,,8,211,Ventilated Disc,Ventilated Disc,Independent suspension with gash shox,Torsion Beam gas shox,,,235/55 R19,235/55 R19,Electric Power,All Windows,Yes,Smart Key,190bhp,400Nm,Digital,Digital,Analog,Yes,5,Leather,Automatic,2702 mm,235/55 R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,,Unknown,Yes,Internal,375,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,No,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,,All Rows,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,,7.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,,Yes,Yes,,,,All,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,5.0
270,Volvo,Xc40,D4 Inscription,4390000,1969,5.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,46,Diesel,1652,4425,1863,SUV,5,15.29,15.29,18.16,,,8,211,Ventilated Disc,Ventilated Disc,Independent suspension with gash shox,Torsion Beam gas shox,,,235/55 R19,235/55 R19,Electric Power,All Windows,Yes,Smart Key,190bhp,400Nm,Digital,Digital,Analog,Yes,5,Leather,Automatic,2702 mm,235/55 R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,,Unknown,Yes,Internal,375,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,No,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,,All Rows,,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,,7.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,,Yes,Yes,Yes,,,All,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,5.0
271,Volvo,Xc40,T4 R-Design,3990000,1969,5.0,4.0,AWD (All Wheel Drive),In-line,BS VI,"Front, Longitudinal",Injection,54,Petrol,1652,4425,1863,SUV,5,15.29,15.29,18.16,,,8,211,Ventilated Disc,Ventilated Disc,Independent suspension with gash shox,Torsion Beam gas shox,,,235/55 R18,235/55 R18,Electric Power,All Windows,Yes,Smart Key,190PS@4000rpm,300Nm@1750rpm,Digital,Digital,Analog,Yes,5,Leather,Automatic,2702 mm,235/55 R18,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,Unknown,Yes,Internal,432,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,5.7 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,No,Yes,Yes,"Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,All Rows,,"Drive side airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,,Yes,Yes,,Yes,,All,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Unknown,Unknown,5.0
272,Mini,Clubman,Cooper S,4120000,1998,4.0,4.0,unknown,In-line,BS IV,"Front, Longitudinal",Injection,46,Petrol,1441,4253,1801,Hatchback,4,12.3,12.3,13.8,,1960 kg,5,146,Ventilated Disc,Ventilated Disc,single joint spring-strut front axle,multiple control-arm rear axle,1564 mm,1565 mm,195/55 R16,195/55 R16,Electric Power,Only Front Windows,Yes,Smart Key,192PS@6200RPM,280NM@1250rpm,Digital,Analog,Analog,Yes,5,Leather,Manual,2670 mm,195 / 55 R16,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,Unknown,Yes,"With Remote, Internal",360,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Yes,Manual,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,No,Yes,Yes,No,,,,Yes,,,No,Yes,,,Yes,Yes,All Rows,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,,Unknown,Unknown,4.0
