,make,model,variant,ex-showroom_price,displacement,cylinders,valves_per_cylinder,drivetrain,cylinder_configuration,emission_norm,engine_location,fuel_system,fuel_tank_capacity,fuel_type,height,length,width,body_type,doors,city_mileage,highway_mileage,arai_certified_mileage,arai_certified_mileage_for_cng,kerb_weight,gears,ground_clearance,front_brakes,rear_brakes,front_suspension,rear_suspension,front_track,rear_track,front_tyre_&_rim,rear_tyre_&_rim,power_steering,power_windows,power_seats,keyless_entry,power,torque,odometer,speedometer,tachometer,tripmeter,seating_capacity,seats_material,type,wheelbase,wheels_size,start_/_stop_button,12v_power_outlet,audiosystem,aux-in_compatibility,average_fuel_consumption,basic_warranty,bluetooth,boot-lid_opener,boot_space,cd_/_mp3_/_dvd_player,central_locking,child_safety_locks,clock,cup_holders,distance_to_empty,door_pockets,engine_malfunction_light,extended_warranty,fm_radio,fuel-lid_opener,fuel_gauge,handbrake,instrument_console,low_fuel_warning,minimum_turning_radius,multifunction_display,sun_visor,third_row_ac_vents,ventilation_system,auto-dimming_rear-view_mirror,hill_assist,gear_indicator,3_point_seat-belt_in_middle_rear_seat,ambient_lightning,cargo/boot_lights,drive_modes,engine_immobilizer,high_speed_alert_system,lane_watch_camera/_side_mirror_camera,passenger_side_seat-belt_reminder,seat_back_pockets,voice_recognition,walk_away_auto_car_lock,abs_(anti-lock_braking_system),headlight_reminder,adjustable_headrests,gross_vehicle_weight,airbags,door_ajar_warning,ebd_(electronic_brake-force_distribution),fasten_seat_belt_warning,gear_shift_reminder,number_of_airbags,compression_ratio,adjustable_steering_column,other_specs,other_specs,parking_assistance,key_off_reminder,usb_compatibility,android_auto,apple_carplay,cigarette_lighter,infotainment_screen,multifunction_steering_wheel,average_speed,eba_(electronic_brake_assist),seat_height_adjustment,navigation_system,second_row_ac_vents,tyre_pressure_monitoring_system,rear_center_armrest,ipod_compatibility,esp_(electronic_stability_program),cooled_glove_box,recommended_tyre_pressure,heated_seats,turbocharger,isofix_(child-seat_mount),rain_sensing_wipers,paddle_shifters,leather_wrapped_steering,automatic_headlamps,engine_type,asr_/_traction_control,cruise_control,usb_ports,heads-up_display,welcome_lights,battery,electric_range,cylindders
10,Datsun ,Redi-Go,1.0 S,390000,999,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,21.38,22.5,,,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,Electric Power,Unknown,,No,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348 mm,80/155R13,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,"With Remote, Internal",222,Yes,No,Yes,,Front,Yes,Yes,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,No,,,No,,,,Yes,,,No,,,,No,,,,,,,,,2.0,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
11,Datsun ,Redi-Go,1.0 S Amt,437065,999,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5,21.38,21.38,23,,,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,155/80R13,155/80R13,Electric Power,Only Front Windows,,Yes,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,Automatic,2348 mm,155/80R13,,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,,"Internal, With Remote",222,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,No,,,No,,,,Yes,,,No,,,,No,Yes,,,,,,,,2.0,,,,,Rear sensors,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
12,Renault,Kwid,Rxe 0.8,353290,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,25.17,,669 kg,6,184,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Unknown,Unknown,,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422 mm,165/70 R14,,,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Internal,300,,No,Yes,,Front,,Front,Yes,,,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
13,Renault,Kwid,Std 0.8,283290,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,25.17,,669 kg,5,184,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Unknown,Unknown,,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2442 mm,165/70 R14,,,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Internal,300,,No,No,,Front,,Front,Yes,,,Internal,Digital,Manual,Digital,Yes,,Yes,,Not Applicable,Heater,Yes,,Yes,No,,,,,,,No,,,,Yes,,,,Driver frontal airbag,,Yes,Yes,Yes,1.0,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
14,Renault,Kwid,Rxl 0.8,383290,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,25.17,,669 kg,5,184,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422 mm,165/70 R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300,Yes,Yes,Yes,,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Unknown,,Yes,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
15,Renault,Kwid,Rxt 0.8,413290,799,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1580,Hatchback,5,25.17,25.17,25.17,,669 kg,5,184,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Unknown,,No,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422 mm,165/70 R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300,Yes,No,Yes,,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Unknown,,Yes,,,,Touch Sensitive,,,,,Yes,,,,,,,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
16,Renault,Kwid,Rxt 1.0,433290,999,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,23.01,,669 kg,5,184,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422 mm,165/70 R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,No,,,,,,,Unknown,Unknown,3.0
17,Renault,Kwid,Climber 1.0 Mt,454490,999,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,23.01,,669 kg,5,184,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422 mm,165/70 R14,,Yes,CD Player with USB & Aux-in,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Internal,300,,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,Yes,Yes,,,,,,,,,Yes,No,,,,,,,Unknown,Unknown,3.0
18,Renault,Kwid,Rxt Amt 1.0,463290,999,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,24.04,,669 kg,5,184,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,2422 mm,165/70 R14,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,,Unknown,Yes,Internal,300,Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,Yes,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,No,,,,,,,Unknown,Unknown,3.0
19,Renault,Kwid,Climber Amt 1.0,484490,999,3.0,4.0,FWD (Front Wheel Drive),In-line,BS VI,"Front, Transverse",Injection,28,Petrol,1490,3731,1579,Hatchback,5,25.17,25.17,24.04,,669 kg,5,184,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,2422 mm,165/70 R14,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,,Unknown,Yes,Internal,300,Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Internal,Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,No,,,,Yes,,,No,,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1.0,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,No,,,,,,,Unknown,Unknown,3.0
